P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa,pm1Palas,pm2_5Palas,pm4Palas,pm10Palas,pmTotalPalas,dCnPalas
0,0.0,0.62,15438,0.1,54.1,18.29,98918,79,7.5,9.22,11.38,13.7566666666667,16.2233333333333,191.426666666667
155549,1.04,537.0,395454,2.64,1365.27,18.26,98912,79,7.50333333333333,9.22,11.3833333333333,13.75,16.2166666666667,191.453333333333
38394,0.26,133.49,162788,1.09,561.88,18.19,98911,79,7.51,9.23,11.3933333333333,13.76,16.22,191.493333333333
0,0.0,0.62,413406,2.76,1427.92,18.09,98914,80,7.51,9.23,11.41,13.78,16.24,191.536666666667
126668,0.84,437.69,294052,1.96,1013.68,18.05,98917,80,7.51,9.24,11.42,13.79,16.2566666666667,191.573333333333
0,0.0,0.62,63507,0.42,220.18,18.01,98911,80,7.51,9.24,11.42,13.8133333333333,16.3,191.603333333333
0,0.0,0.62,281329,1.88,969.78,18.01,98914,80,7.51666666666667,9.24,11.42,13.82,16.3033333333333,191.63
0,0.0,0.62,27464,0.18,95.71,18.0,98916,81,7.52,9.25,11.43,13.82,16.2966666666667,191.663333333333
0,0.0,0.62,243943,1.63,840.97,17.93,98916,81,7.52,9.25,11.43,13.8166666666667,16.2866666666667,191.696666666667
0,0.0,0.62,2599,0.02,9.63,17.99,98923,81,7.52333333333333,9.25333333333333,11.43,13.8133333333333,16.28,191.746666666667
0,0.0,0.62,342,0.0,1.81,18.0,98913,81,7.53,9.26,11.43,13.8133333333333,16.28,191.78
0,0.0,0.62,41303,0.28,143.54,18.03,98916,81,7.53,9.26,11.43,13.81,16.27,191.813333333333
0,0.0,0.62,223262,1.49,769.8,18.03,98916,80,7.53,9.26,11.44,13.8133333333333,16.2733333333333,191.84
183191,1.22,632.02,558778,3.73,1941.85,18.01,98912,80,7.53,9.26666666666667,11.45,13.82,16.28,191.88
0,0.0,0.62,205059,1.37,707.2,18.06,98918,80,7.53666666666667,9.27,11.46,13.8266666666667,16.2766666666667,191.913333333333
0,0.0,0.62,130193,0.87,449.81,18.1,98921,80,7.54,9.28,11.47,13.83,16.2733333333333,191.97
0,0.0,0.62,0,0.0,0.62,18.15,98922,80,7.54,9.28,11.47,13.8266666666667,16.2666666666667,192.0
10790,0.07,38.01,217710,1.45,750.71,18.2,98924,80,7.54,9.28,11.48,13.83,16.27,192.006666666667
140073,0.93,483.79,248997,1.66,858.37,18.25,98923,80,7.54,9.28333333333333,11.49,13.8466666666667,16.2866666666667,192.05
0,0.0,0.62,115480,0.77,399.2,18.27,98922,80,7.54333333333333,9.29666666666667,11.4966666666667,13.9466666666667,16.4566666666667,192.1
155603,1.04,537.18,410805,2.74,1418.84,18.33,98927,80,7.55,9.30666666666667,11.5133333333333,14.0133333333333,16.5766666666667,192.166666666667
0,0.0,0.62,47117,0.31,163.62,18.4,98930,80,7.55,9.31,11.52,14.0466666666667,16.6333333333333,192.21
74266,0.5,257.28,495910,3.31,1717.99,18.43,98926,79,7.55,9.31,11.5266666666667,14.06,16.65,192.28
212286,1.42,732.05,459909,3.07,1590.95,18.46,98931,79,7.55,9.31333333333333,11.53,14.06,16.6466666666667,192.37
1296,0.01,5.11,179565,1.2,619.55,18.48,98924,79,7.56,9.32,11.53,14.0633333333333,16.6466666666667,192.436666666667
